time,tweet
2019-11-04 01:14:43,"RT @Jim_Jordan: ""Rep. Jim Jordan on House impeachment inquiry: Democrats are making up the rules as they go""

https://t.co/jagPe8DhgF"
2019-11-04 01:14:21,RT @SteveScalise: Dems are using impeachment as a political tactic to damage @realDonaldTrump at the ballot box. That's a disgusting abuse…
2019-11-04 01:08:27,Don’t miss this show! https://t.co/EhY8CNAUqP
2019-11-04 00:59:45,False stories are being reported that a few Republican Senators are saying that President Trump may have done a qui… https://t.co/WWFezvm0qL
2019-11-04 00:48:55,....should give their own transcripts of the interviews to contrast with Schiff’s manipulated propaganda. House Rep… https://t.co/6i99yaufmB
2019-11-04 00:48:51,"If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed t… https://t.co/3nt1frcnAB"
2019-11-03 22:24:47,https://t.co/3O0ABd3HGt
2019-11-03 20:23:15,"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those… https://t.co/e8svtBNWdV"
2019-11-03 20:18:09,I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elect… https://t.co/v1dWBN36jN
2019-11-03 20:05:10,"The Fake News Media is working hard so that information about the Whistleblower’s identity, which may be very bad f… https://t.co/otzOKixxxp"
2019-11-03 18:23:41,"The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Repub… https://t.co/gJxkEUisn9"
2019-11-03 16:45:08,Fake News! https://t.co/pL9gMFvZEn
2019-11-03 16:41:58,The Angry Majority!
2019-11-03 16:40:52,Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any compl… https://t.co/R40aX4XUZJ
2019-11-03 16:25:59,....and FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP l… https://t.co/SOXiJAcYfM
2019-11-03 16:25:56,Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American p… https://t.co/zAwQNGbd8p
2019-11-03 16:13:59,“Morrison testifies he saw nothing wrong with the Trump call.” @OANN
2019-11-03 15:01:01,"....Matt has been a GREAT Governor. Kentucky (I Love You!), please be sure to vote for Matt Bevin on TUESDAY. Matt… https://t.co/FgvsAVkPYY"
2019-11-03 15:01:00,Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit… https://t.co/W4HTuFbJI4
2019-11-03 14:37:51,Great fight Champ! https://t.co/URRR7vnSCj
2019-11-03 14:34:40,RT @TimOBrien: UFC president Dana White has praised Trump for backing the UFC early on—including agreeing to host fights at his venues and…
2019-11-03 14:33:45,"The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an ar… https://t.co/NLuyUNTaFd"
2019-11-03 14:12:00,"....putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lan… https://t.co/Ls3DUUNrTS"
2019-11-03 14:11:58,"..Every year, as the fire’s rage &amp; California burns, it is the same thing-and then he comes to the Federal Governme… https://t.co/aKLld8oOVX"
2019-11-03 14:11:58,"The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told him from the first d… https://t.co/vwoGJi6XiO"
2019-11-03 05:03:33,https://t.co/zJ9nW8i3ao
2019-11-03 03:51:21,RT @TaraLaRosa: #NEW: Pres. Trump arrives at Madison Square Garden to a positive reaction from the crowd ahead of #UFC244 . https://t.co/OI…
2019-11-03 03:38:48,"RT @EricTrump: At #UFC244 - chanting “Donald Trump, Donald Trump... USA USA” https://t.co/hiqKCw3cS9"
2019-11-03 03:37:40,"RT @DonaldJTrumpJr: Despite the bullshit from blue checkmark Twitter, when we walked into the arena it was overwhelmingly positive. @danawh…"
2019-11-02 22:28:27,"RT @realDonaldTrump: A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is on…"
2019-11-02 22:28:23,"RT @realDonaldTrump: Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesday!…"
2019-11-02 22:27:52,"RT @realDonaldTrump: Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin. Ke…"
2019-11-02 22:27:50,RT @realDonaldTrump: Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be coming…
2019-11-02 22:27:33,RT @realDonaldTrump: The Whistleblower has disappeared. Where is the Whistleblower?
2019-11-02 22:26:52,"RT @VP: Under President @realDonaldTrump, we’ve cut taxes, rolled back red tape, unleashed American energy and forged free, fair and recipr…"
2019-11-02 22:26:29,RT @realDonaldTrump: Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https…
2019-11-02 22:26:03,Didn’t he pick the Whistleblower? https://t.co/yalRJr8DgA
2019-11-02 21:11:53,RT @WhiteHouse: When you look at what Democrats in Congress have accomplished compared to President @realDonaldTrump in just the past 2 wee…
2019-11-02 21:11:34,RT @WhiteHouse: There is serious work to get done on behalf of this country—and Congressional Democrats are blatantly ignoring it. https://…
2019-11-02 21:11:26,"RT @WhiteHouse: While Democrats go on with their impeachment sham, President @realDonaldTrump will continue working for the American people…"
2019-11-02 21:11:14,"RT @MarshaBlackburn: .@HouseDemocrats have been holding a closed-door investigation in @RepAdamSchiff’s basement.
 
After facing intense fl…"
2019-11-02 21:10:59,"RT @WhiteHouse: The left's impeachment sham sure hasn't slowed President @realDonaldTrump down this week. 

See more: https://t.co/A68ueVC8…"
2019-11-02 21:10:22,A giant Scam! https://t.co/E2gcPaddD1
2019-11-02 21:08:12,RT @1k_kilgore: Someone feeling a bit left out? https://t.co/VDsy93Blft
2019-11-02 21:07:37,"RT @TrumpWarRoom: President Trump on the mission that killed ISIS leader Abu Bakr al-Baghdadi:

""American special operators executed a mast…"
2019-11-02 21:07:07,"RT @RyanAFournier: You can call Trump a bully, racist, xenophobe, liar, islamophobe, fascist, or even a Cheeto. 

None of it's true.

THE T…"
2019-11-02 21:06:23,RT @RealDrGina: Nancy &amp; Adam: We will worry about your ridiculous fake impeachment bs when ONE of your full-time candidates can fill a stad…
2019-11-02 21:04:20,RT @ksorbs: Keep on rolling. https://t.co/5vOLzTaoRm
2019-11-02 21:03:43,RT @danielledsouzag: The Democrats are pushing the Impeachment hoax because they know the President is going to get re-elected in 2020. So…
2019-11-02 21:02:23,"RT @SteveScalise: Same story, different day for Dems. 

They’ve wanted to impeach @realDonaldTrump from Day 1.

First they tried to use the…"
2019-11-02 21:01:44,Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician! https://t.co/b12GFXv6tE
2019-11-02 20:57:58,The Whistleblower has disappeared. Where is the Whistleblower?
2019-11-02 20:55:19,"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin.… https://t.co/1EArEmmPzL"
2019-11-02 18:18:44,Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be com… https://t.co/8cSjCGWZ4I
2019-11-02 18:12:22,"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesda… https://t.co/Uj8Bbeqfbr"
2019-11-02 16:26:02,"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is… https://t.co/6yWcQF0nfK"
2019-11-02 02:48:33,RT @mike_pence: If you want to send a message to the Do Nothing Democrats that Kentucky and America support President @realDonaldTrump—VOTE…
